image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
dicot-sim-371-2-22.rsml,5444.956,58.674004,309.9647,22.640684,1,314.0,314.99957,1.2329471,0.88484675,234,4999.0,21.922892,0.16272178,35.890007,469,235.0,235.0,1.0,0.56666666
dicot-sim-371-3-22.rsml,5595.683,58.758667,309.9647,22.77591,1,314.0,314.99756,1.2347225,0.88107204,233,5145.0,22.663883,0.1628657,37.05945,467,234.0,234.0,1.0,0.5732966
dicot-sim-371-4-22.rsml,5743.8574,62.230003,309.9647,23.198778,1,314.0,314.99823,1.2550869,0.8999769,238,5302.0,22.810324,0.16221935,38.007397,477,239.0,239.0,1.0,0.55181694
dicot-sim-371-5-22.rsml,5385.6367,56.642002,309.9647,23.001545,1,314.0,314.9999,1.2511094,0.9034868,238,4933.0,21.305193,0.16098501,36.82334,477,239.0,239.0,1.0,0.56537104
dicot-sim-371-6-22.rsml,5190.875,55.88,309.9647,22.972586,1,314.0,314.99936,1.2187681,0.87728465,232,4745.0,21.0167,0.15973078,36.31841,465,233.0,233.0,1.0,0.56613374
dicot-sim-371-7-22.rsml,5356.3086,58.081337,309.9647,22.891008,1,314.0,315.0,1.2289222,0.8735011,231,4910.0,21.823847,0.1611215,38.511208,463,232.0,232.0,1.0,0.5486409
dicot-sim-371-8-22.rsml,5360.797,56.72667,309.9647,22.719053,1,314.0,314.99915,1.2390003,0.8886295,235,4912.0,21.471478,0.16089134,36.368572,471,236.0,236.0,1.0,0.5566502
dicot-sim-371-9-22.rsml,5581.1143,55.795334,309.9647,22.793612,1,314.0,314.99832,1.2282693,0.88106954,233,5140.0,22.601353,0.16200826,36.095627,467,234.0,234.0,1.0,0.56412005
dicot-sim-372-1-25.rsml,167.209,1.6933334,154.94,21.665194,1,159.0,159.99763,0.2582307,0.0,1,7.0,7.211367,0.08205594,28.558441,3,2.0,2.0,1.0,0.0
dicot-sim-372-10-25.rsml,165.48227,1.1853334,154.94,22.314892,1,159.0,159.99323,0.2537585,0.0,1,5.0,5.4890413,0.07492713,12.575881,3,2.0,2.0,1.0,0.0
dicot-sim-372-2-25.rsml,159.99963,1.016,154.94,22.82732,1,159.0,159.99963,0.24691434,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0
dicot-sim-372-3-25.rsml,170.2732,3.9793334,154.94,24.579805,1,159.0,159.99274,0.2548054,0.0,1,10.0,10.2804575,0.08463657,40.78123,3,2.0,2.0,1.0,0.0
dicot-sim-372-4-25.rsml,159.9944,0.0,154.94,22.859135,1,159.0,159.9944,0.2516793,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0
dicot-sim-372-5-25.rsml,181.1814,4.4873333,154.94,20.584644,1,159.0,159.99977,0.25545254,0.12823255,3,19.0,7.06054,0.08236535,35.74479,7,4.0,4.0,1.0,0.11111111
dicot-sim-372-6-25.rsml,188.3812,6.688667,154.94,22.828085,1,159.0,159.99219,0.25910315,0.14248067,4,26.0,7.0972505,0.08400492,25.29501,9,5.0,5.0,1.0,0.23076923
dicot-sim-372-7-25.rsml,159.9969,0.93133336,154.94,22.831656,1,159.0,159.9969,0.24318688,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0
dicot-sim-372-8-25.rsml,187.08304,3.8946667,154.94,23.432703,1,159.0,159.99095,0.2507852,0.17097689,4,25.0,6.7730217,0.079711765,32.632256,9,5.0,5.0,1.0,0.083333336
dicot-sim-372-9-25.rsml,195.23058,10.583334,154.94,22.533566,1,159.0,159.99535,0.25374812,0.09498711,4,34.0,8.808806,0.083278105,44.853333,9,5.0,5.0,1.0,0.14285715
dicot-sim-373-1-25.rsml,197.05382,8.974667,124.968,22.85168,1,129.0,129.99976,0.34348184,0.1609436,11,63.0,6.0958223,0.1031677,57.246727,23,12.0,12.0,1.0,0.027027028
dicot-sim-373-10-25.rsml,199.20795,8.720667,124.968,21.73451,1,129.0,129.99911,0.3434321,0.16953214,13,63.0,5.3237557,0.10464106,55.88979,27,14.0,14.0,1.0,0.09756097
dicot-sim-373-2-25.rsml,178.40685,6.688667,124.968,22.513851,1,129.0,129.99971,0.34027195,0.16548425,8,44.0,6.050895,0.10275654,56.55865,17,9.0,9.0,1.0,0.07692308
dicot-sim-373-3-25.rsml,230.0503,10.668,124.968,22.154749,1,129.0,130.0,0.3613607,0.2042145,16,93.0,6.2531443,0.1024919,65.12336,33,17.0,17.0,1.0,0.16
dicot-sim-373-4-25.rsml,209.15721,6.604,124.968,22.900574,1,130.0,130.00002,0.35773274,0.1908709,14,73.0,5.6540847,0.09863176,63.362587,29,15.0,15.0,1.0,0.069767445
dicot-sim-373-5-25.rsml,216.95218,11.43,124.968,19.836987,1,129.0,129.99985,0.35239598,0.1534579,11,82.0,7.9047556,0.102991365,64.930084,23,12.0,12.0,1.0,0.1388889
dicot-sim-373-6-25.rsml,186.7707,7.7893333,124.968,24.248316,1,129.0,129.99715,0.3614136,0.20765205,9,52.0,6.308173,0.10458834,61.17005,19,10.0,10.0,1.0,0.037037037
dicot-sim-373-7-25.rsml,194.4878,7.1966667,124.968,24.107117,1,129.0,129.99918,0.33977464,0.15711263,11,59.0,5.862601,0.10284546,54.825657,23,12.0,12.0,1.0,0.0882353
dicot-sim-373-8-25.rsml,221.90979,12.784667,124.968,22.97008,1,129.0,129.99995,0.35197923,0.19530983,14,86.0,6.5649858,0.10581617,58.6376,29,15.0,15.0,1.0,0.08510638
dicot-sim-373-9-25.rsml,189.27847,7.5353336,124.968,23.392075,1,129.0,129.9967,0.35853684,0.1173729,9,55.0,6.5868654,0.10634137,61.06201,19,10.0,10.0,1.0,0.13793103
dicot-sim-374-1-25.rsml,2683.9287,31.326668,299.974,22.760332,1,304.0,304.9993,0.45034316,0.29958743,167,2294.0,14.24509,0.100264154,32.68887,335,168.0,168.0,1.0,0.5287671
dicot-sim-374-10-25.rsml,2370.6294,36.068,299.974,22.585894,1,304.0,304.9981,0.45013475,0.34219092,149,1993.0,13.8633,0.09955619,29.756773,299,150.0,150.0,1.0,0.47692308
dicot-sim-374-2-25.rsml,2126.8342,38.438667,299.974,22.943531,1,304.0,304.99863,0.43936592,0.3222819,133,1749.0,13.698008,0.10125759,31.911188,267,134.0,134.0,1.0,0.50437826
